index,full_name,short_name,description,output_type
1314,ee.List.filter,filter,"Filters a list to only the elements that match the given filter. To filter list items that aren't images or features, test a property named 'item', e.g.: ee.Filter.gt('item', 3)",List
1315,ee.ImageCollection.linkCollection,linkCollection,Links images in this collection to matching images from .,ImageCollection
1316,ee.Dictionary.remove,remove,Returns a dictionary with the specified keys removed.,Dictionary
1317,ee.List.remove,remove,"Removes the first occurrence of the specified element from list, if it is present.",List
1318,ee.Dictionary.rename,rename,Rename elements in a dictionary.,Dictionary
1319,ee.Image.rename,rename,Rename the bands of an image.,Image
1320,ee.Dictionary.toArray,toArray,"Returns numeric values of a dictionary as an array. If no keys are specified, all values are returned in the natural ordering of the dictionary's keys. The default 'axis' is 0.",Array
1321,ee.Feature.toArray,toArray,"Creates an array from the given properties of an object, which must all be numbers.",Array
1322,ee.Image.toArray,toArray,Concatenates pixels from each band into a single array per pixel. The result will be masked if any input bands are masked.,Image
1323,ee.ImageCollection.toArray,toArray,"Converts an image collection into an image of 2D arrays.  At each pixel, the images that have valid (unmasked) values in all bands are laid out along the first axis of the array in the order they appear in the image collection.  The bands of each image are laid out along the second axis of the array, in the order the bands appear in that image.  The array element type will be the union of the types of each band.",Image
1324,ee.Image.translate,translate,Translate the input image.,Image
1325,ee.Projection.translate,translate,Returns the projection translated by the given amount in each axis.,Projection
1326,ee.data.getWorkloadTag,getWorkloadTag,Returns the currently set workload tag.,String
1327,ee.DateRange.unbounded,unbounded,Returns a DateRange that includes all possible dates.,DateRange
1328,ee.Image.pixelArea,pixelArea,"Generate an image in which the value of each pixel is the area of that pixel in square meters. The returned image has a single band called ""area.""",Image
1329,ee.Image.pixelLonLat,pixelLonLat,"Creates an image with two bands named 'longitude' and 'latitude', containing the longitude and latitude at each pixel, in degrees.",Image
1330,ee.Join.inverted,ee.Join.inverted,Returns a join that produces the elements of the primary collection that match no elements of the secondary collection. No properties are added to the results.,Join
1331,ee.Join.simple,ee.Join.simple,Returns a join that produces the elements of the primary collection that match any element of the secondary collection. No properties are added to the results.,Join
1332,ee.PixelType.double,double,Returns the 64-bit floating point pixel type.,PixelType
1333,ee.PixelType.float,float,Returns the 32-bit floating point pixel type.,PixelType
1334,ee.PixelType.int16,int16,Returns the 16-bit signed integer pixel type.,PixelType
1335,ee.PixelType.int32,int32,Returns the 32-bit signed integer pixel type.,PixelType
1336,ee.PixelType.int64,int64,Returns the 64-bit signed integer pixel type.,PixelType
1337,ee.PixelType.int8,int8,Returns the 8-bit signed integer pixel type.,PixelType
1338,ee.PixelType.uint16,uint16,Returns the 16-bit unsigned integer pixel type.,PixelType
1339,ee.PixelType.uint32,uint32,Returns the 32-bit unsigned integer pixel type.,PixelType
1340,ee.PixelType.uint8,uint8,Returns the 8-bit unsigned integer pixel type.,PixelType
1341,ee.Reducer.allNonZero,ee.Reducer.allNonZero,"Returns a Reducer that returns 1 if all of its inputs are non-zero, 0 otherwise.",Reducer
1342,ee.Reducer.anyNonZero,ee.Reducer.anyNonZero,"Returns a Reducer that returns 1 if any of its inputs are non-zero, 0 otherwise.",Reducer
1343,ee.Reducer.bitwiseAnd,ee.Reducer.bitwiseAnd,Returns a Reducer that computes the bitwise-and summation of its inputs.,Reducer
1344,ee.Reducer.bitwiseOr,ee.Reducer.bitwiseOr,Returns a Reducer that computes the bitwise-or summation of its inputs.,Reducer
1345,ee.Reducer.centeredCovariance,ee.Reducer.centeredCovariance,Creates a reducer that reduces some number of 1-D arrays of the same length N to a covariance matrix of shape NxN.  WARNING: this reducer requires that the data has been mean centered.,Reducer
1346,ee.Reducer.circularMean,ee.Reducer.circularMean,"Returns a Reducer that computes the (weighted) circular mean of its inputs, which are expected to be in radians.  Output will be in the range (-π to π).",Reducer
1347,ee.Reducer.circularStddev,ee.Reducer.circularStddev,"Returns a Reducer that computes the (weighted) circular standard deviation of its inputs, which are expected to be in radians, using the sqrt(-2 * ln(R)) formula.",Reducer
1348,ee.Reducer.circularVariance,ee.Reducer.circularVariance,"Returns a Reducer that computes the (weighted) circular variance of its inputs, which are expected to be in radians.",Reducer
1349,ee.Reducer.count,ee.Reducer.count,Returns a Reducer that computes the number of non-null inputs.,Reducer
1350,ee.Reducer.countDistinct,ee.Reducer.countDistinct,Returns a Reducer that computes the number of distinct inputs.,Reducer
1351,ee.Reducer.countDistinctNonNull,ee.Reducer.countDistinctNonNull,"Returns a Reducer that computes the number of distinct inputs, ignoring nulls.",Reducer
1352,ee.Reducer.countEvery,ee.Reducer.countEvery,Returns a Reducer that computes the number of inputs.,Reducer
1353,ee.Reducer.countRuns,ee.Reducer.countRuns,"Returns a Reducer that computes the number of runs of distinct, non-null inputs.",Reducer
1354,ee.Reducer.covariance,ee.Reducer.covariance,"Creates a reducer that reduces some number of 1-D arrays of the same length N to a covariance matrix of shape NxN.  This reducer uses the one-pass covariance formula from Sandia National Laboratories Technical Report SAND2008-6212, which can lose accuracy if the values span a large range.",Reducer
1355,ee.Reducer.first,ee.Reducer.first,Returns a Reducer that returns the first of its inputs.,Reducer
1356,ee.Reducer.firstNonNull,ee.Reducer.firstNonNull,Returns a Reducer that returns the first of its non-null inputs.,Reducer
1357,ee.Reducer.frequencyHistogram,ee.Reducer.frequencyHistogram,Returns a Reducer that returns a (weighted) frequency table of its inputs.,Reducer
1358,ee.Reducer.kurtosis,ee.Reducer.kurtosis,Returns a Reducer that Computes the kurtosis of its inputs.,Reducer
1359,ee.Reducer.last,ee.Reducer.last,Returns a Reducer that returns the last of its inputs.,Reducer
1360,ee.Reducer.lastNonNull,ee.Reducer.lastNonNull,Returns a Reducer that returns the last of its non-null inputs.,Reducer
1361,ee.Reducer.linearFit,ee.Reducer.linearFit,Returns a Reducer that computes the slope and offset for a (weighted) linear regression of 2 inputs.  The inputs are expected to be x data followed by y data..,Reducer
1362,ee.Reducer.mean,ee.Reducer.mean,Returns a Reducer that computes the (weighted) arithmetic mean of its inputs.,Reducer
1363,ee.Reducer.minMax,ee.Reducer.minMax,Returns a Reducer that computes the minimum and maximum of its inputs.,Reducer
1364,ee.Reducer.pearsonsCorrelation,ee.Reducer.pearsonsCorrelation,Creates a two-input reducer that computes Pearson's product-moment correlation coefficient and the 2-sided p-value test for correlation = 0.,Reducer
1365,ee.Reducer.product,ee.Reducer.product,Returns a Reducer that computes the product of its inputs.,Reducer
1366,ee.Reducer.sampleStdDev,ee.Reducer.sampleStdDev,Returns a Reducer that computes the sample standard deviation of its inputs.,Reducer
1367,ee.Reducer.sampleVariance,ee.Reducer.sampleVariance,Returns a Reducer that computes the sample variance of its inputs.,Reducer
1368,ee.Reducer.sensSlope,ee.Reducer.sensSlope,Creates a two-input reducer that computes the Sen's slope estimator.  The inputs are expected to be x data followed by y data.  It returns two double values; the estimated slope and the offset.,Reducer
1369,ee.Reducer.skew,ee.Reducer.skew,Returns a Reducer that Computes the skewness of its inputs.,Reducer
1370,ee.Reducer.spearmansCorrelation,ee.Reducer.spearmansCorrelation,Creates a two-input reducer that computes the Spearman's rank-moment correlation.  See https://commons.apache.org/proper/commons-math/javadocs/api-3.6/org/apache/commons/math3/stat/correlation/SpearmansCorrelation.html for details.,Reducer
1371,ee.Reducer.stdDev,ee.Reducer.stdDev,Returns a Reducer that computes the standard deviation of its inputs.,Reducer
1372,ee.Reducer.sum,ee.Reducer.sum,Returns a Reducer that computes the (weighted) sum of its inputs.,Reducer
1373,ee.Reducer.variance,ee.Reducer.variance,Returns a Reducer that computes the variance of its inputs.,Reducer
1374,ee.reset,reset,Reset the library to its base state. Useful for re-initializing to a different server.,EMPTY
